Time,Stock 0 Ground Truth,Stock 0 Prediction,Stock 1 Ground Truth,Stock 1 Prediction,Stock 2 Ground Truth,Stock 2 Prediction,Stock 3 Ground Truth,Stock 3 Prediction,Stock 4 Ground Truth,Stock 4 Prediction,Stock 5 Ground Truth,Stock 5 Prediction,Stock 6 Ground Truth,Stock 6 Prediction,Stock 7 Ground Truth,Stock 7 Prediction
0,0.0059483917,0.52548486,0.009077152,0.87278384,0.002848574,0.6610311,-0.01150628,0.7627396,0.00983169,0.6946822,0.014026487,0.69952744,0.016296377,0.7825751,0.0022937667,0.8568508
1,0.029820647,0.52480686,0.02248868,0.87107074,-0.0011183037,0.6616289,0.011640215,0.756485,0.009915401,0.7029524,0.010985021,0.70492095,-0.0031688085,0.78794783,0.02173886,0.8544048
2,0.031951934,0.53686625,-0.029325793,0.883294,0.005085762,0.66159695,-0.019175444,0.76004815,0.014101146,0.710031,-0.006841084,0.7084295,-0.014964611,0.7902863,-0.010078502,0.8662647
3,-0.0026603348,0.54709756,-0.012083791,0.8645206,0.011147826,0.66603154,-0.007820371,0.75394017,-0.004928283,0.7092106,-0.005267253,0.70681804,0.017850574,0.7915346,-0.00226263,0.86637616
4,0.002667431,0.550497,0.0030572913,0.8555346,0.009159446,0.6758137,0.0049261064,0.75893664,0.0008843029,0.71240956,-0.011405141,0.70510304,0.026491784,0.7959644,-0.027210442,0.86558974
5,0.023221463,0.554314,0.018292682,0.84837335,0.0010087145,0.67743045,0.02254925,0.75169003,0.009720966,0.7080585,0.014833306,0.69909376,-0.11686705,0.8118412,0.018648133,0.8533402
6,0.006856804,0.56575423,0.010479767,0.86306006,0.005372567,0.6789213,0.019175444,0.7664042,0.009451689,0.72463745,0.0,0.6936475,0.033546604,0.7641133,0.019450344,0.861018
7,-0.011270773,0.5708402,-0.034074407,0.8612102,-0.00417531,0.67935234,-0.024459599,0.7680324,0.0012147503,0.7289059,-0.014414482,0.689153,-0.01473496,0.7679398,-0.029180441,0.86964035
8,0.0037997505,0.5677304,0.0092024505,0.843927,-0.001760213,0.68394345,0.0067500053,0.7573942,0.0005184272,0.7326803,0.039341833,0.6903326,-0.0062653515,0.7694435,0.0,0.8528462
9,-0.0066235955,0.5741853,-0.015197125,0.84475833,0.008064382,0.6834907,-0.02586176,0.7631221,-0.0008654032,0.73611224,-0.016250094,0.7036935,-0.022370799,0.7574863,-0.035838813,0.8484157
10,0.00095179764,0.5735891,-0.006173652,0.81958985,-8.377512e-05,0.696284,0.016715508,0.7476337,-0.0025983774,0.7348073,0.011280983,0.7022964,0.008944867,0.74718213,0.009592976,0.81226623
11,0.0014280971,0.57526326,0.0015536178,0.8217171,-0.0017507578,0.6868536,-0.016440693,0.74760044,-0.002432341,0.73357236,-0.00039912283,0.69765306,-0.00041296426,0.7384338,0.0035626243,0.8131751
12,-0.0009512923,0.57711697,0.013953476,0.8128512,0.0018377574,0.6908841,0.0,0.7383084,0.00052260875,0.7386329,-0.009565214,0.6959188,0.0,0.7330974,0.022484941,0.8187564
13,0.008323231,0.58048755,0.0030572913,0.8360703,0.00066669943,0.6907437,-0.010816684,0.7439416,0.0106166005,0.7365129,-0.0016098644,0.6960283,-0.00453753,0.7268065,0.0,0.83301955
14,0.03537798,0.58205026,0.033537325,0.8366859,-0.0009172382,0.69253904,0.030815607,0.7432719,0.006888741,0.73897874,0.014912818,0.6933883,-0.008496118,0.72894466,0.025463525,0.8272277
15,0.023689782,0.5938498,0.02212381,0.86424303,0.01592136,0.6892618,0.05014433,0.7535804,0.009405298,0.7468765,-0.0027795965,0.70735687,0.003135826,0.7213348,0.03498826,0.8458775
16,-0.008677301,0.6006377,0.0057716523,0.877207,0.00049162237,0.69497085,-0.008263942,0.7824837,-0.0018627095,0.74922454,-0.009159961,0.7010521,-0.016666835,0.72637576,-0.0043623447,0.8591607
17,-0.0029188576,0.5978125,0.0043041594,0.8831453,8.24424e-05,0.6992909,0.013888884,0.77697974,0.0010175302,0.7512502,-0.00200915,0.6962221,0.04682181,0.71650064,-0.012047361,0.86186093
18,-0.011031435,0.59922427,-0.03142815,0.90115434,-0.0026245015,0.69663423,-0.024657229,0.7967909,-0.0028821311,0.7432781,0.002416658,0.69567066,0.009107725,0.72528666,-0.0077605294,0.8575522
19,0.003187547,0.5973734,0.0014745679,0.875524,-0.0023009703,0.69678247,-0.012172506,0.7620163,0.0032316234,0.7470224,0.0036156185,0.68765724,0.021961058,0.72558194,0.0078212265,0.8523282
20,-0.006579831,0.5998515,-0.0014723968,0.8776751,0.060980342,0.69222885,0.0018954254,0.7551049,0.001695009,0.74277174,0.0060047396,0.69128686,0.0018647759,0.7399794,-0.001109312,0.858851
21,-0.0020556236,0.59893215,-0.011799758,0.87627256,-0.0017083328,0.72611505,-0.010407273,0.7493545,0.0025382112,0.7495735,0.023478357,0.70482475,-0.0021545084,0.74397904,-0.004439812,0.86305803
22,0.0004573814,0.5989693,0.014924938,0.8721255,0.0042781406,0.7267393,0.0019130578,0.7594634,0.0052327653,0.7507531,0.02138436,0.7202142,0.009225949,0.7413861,0.034560382,0.8700765
23,0.016242793,0.60348284,-0.0117639275,0.8817955,0.009374501,0.73222786,-0.015267709,0.7601961,-0.00016839332,0.7584771,0.024742322,0.7476029,-0.0068080095,0.75375843,-0.0053877523,0.8837018
24,-0.0011246142,0.6100379,0.011903965,0.87664783,0.009517461,0.7339677,-0.0009694652,0.75344396,-0.002854618,0.7553684,-0.004085931,0.75639486,-0.008617902,0.74850154,-0.010834997,0.8821423
25,0.01577604,0.6137094,-0.0014701653,0.88131535,0.0038777136,0.7448202,-0.016004004,0.7575814,0.0062323706,0.76170266,-0.010071305,0.7701795,-0.013432856,0.760671,-0.013143308,0.87943053
26,0.00022164026,0.619215,0.0117823845,0.8795738,0.0028777388,0.74350125,0.018236756,0.74163854,0.0036819235,0.7651086,0.013188396,0.7588941,0.0070084054,0.753267,0.02441792,0.87666893
27,-0.001109788,0.62257046,0.0,0.8854878,-0.0022652338,0.7499364,0.004840268,0.7583459,0.004336216,0.76767164,0.01673466,0.76637876,-0.0005967673,0.763129,0.0064998902,0.8864042
28,0.009549046,0.6196491,0.01892242,0.8778732,0.008854668,0.7487323,0.020230418,0.75078917,0.0033220206,0.7692571,-0.0058528287,0.76923674,-0.017508734,0.75720423,0.017222874,0.8864149
29,-0.0096784625,0.62017226,-0.015714627,0.8877591,0.012978999,0.75297225,-0.012275964,0.75750595,0.00016473165,0.77061677,-0.0062546367,0.76889706,-0.005872436,0.76029575,0.0074074096,0.89351624
30,0.013994689,0.61907697,0.0043541365,0.8780212,0.003629974,0.7617591,0.04015399,0.7464852,0.0062889922,0.7729053,-0.01777055,0.76978743,0.00061127415,0.75100046,0.00630298,0.89599144
31,-0.010734193,0.6222459,0.010116307,0.882725,-0.0012186125,0.7601235,-0.007353236,0.7668122,-0.0018091828,0.7756071,0.0052763047,0.76104295,-0.0014250313,0.7506929,0.013569246,0.90553164
32,-0.0013291166,0.620047,-0.017167306,0.8828549,0.0027709915,0.7612458,-0.005556006,0.75690866,-0.0018124619,0.7716979,-0.0063742422,0.75875103,0.012435655,0.7456598,0.004119744,0.9074808
33,0.008869646,0.6249235,0.008733552,0.88208926,0.007221264,0.76309496,-0.0074490937,0.76374936,0.0077570537,0.77159345,0.0026424804,0.76167643,0.009262816,0.74674416,0.0041028415,0.9163495
34,0.010550039,0.6294433,-0.007215352,0.89320415,0.0029988019,0.76536936,0.004690434,0.7622835,0.0042580976,0.775961,-0.012420669,0.7590646,-0.006384446,0.74365723,0.0051070834,0.9220066
35,-0.012397166,0.6375042,-0.07122043,0.8915745,-0.004230238,0.7655285,0.045752414,0.7704244,0.0011411487,0.7779083,-0.02934431,0.7578544,-0.010842884,0.7333143,0.0,0.9287464
36,0.0030835602,0.6366156,0.079812,0.8526087,0.0009526809,0.7668072,0.007143073,0.80866283,-0.0060260086,0.7781599,0.0060858806,0.7459384,0.009947272,0.739649,-0.009146449,0.93563
37,0.0035112586,0.63650984,-0.010145623,0.88292545,0.0019757268,0.77048564,0.01861629,0.81983286,-0.0031141278,0.7748486,0.017756255,0.744349,0.027134918,0.7438713,0.0041028415,0.9306729
38,-0.0010929713,0.6355063,-0.014640868,0.8881772,0.00043758802,0.76972324,-0.010443654,0.8248025,-0.0034523273,0.77884173,-0.015721831,0.7406069,-0.02446226,0.76380634,-0.013279238,0.93116
39,0.012702926,0.63356274,0.04903409,0.8779734,0.020440163,0.77179325,0.016710142,0.81757385,0.009568145,0.7783265,-0.051810898,0.7389253,0.010633114,0.75106245,-0.0062105614,0.92876774
40,-0.006488671,0.6426215,0.007082494,0.9020983,-0.0059381463,0.77757984,-0.01211024,0.83305997,-0.013889671,0.7865303,-0.056285456,0.72054106,-0.011711225,0.76685417,-0.034375772,0.9305013
41,-0.0006524236,0.6346756,-0.007032685,0.911919,0.0059013492,0.7787837,-0.004378284,0.823887,0.0,0.7787458,-0.0069663166,0.69995075,-0.010644563,0.75292104,0.012945863,0.9174226
42,-0.0058808536,0.6328138,-0.014163959,0.8883785,-0.0031483355,0.7788228,-0.009675012,0.82045376,0.0004973226,0.77620506,-0.012275066,0.688572,0.004263105,0.7554097,0.008519236,0.9152582
43,0.0019719445,0.6298379,0.0028728652,0.8864042,0.0012926229,0.7817056,-0.02131389,0.8212915,0.0029809824,0.773742,-0.0017756384,0.6841139,0.00020179202,0.7602884,-0.011615914,0.9160335
44,0.0054669273,0.633657,-0.0014323178,0.8952238,-0.0037276244,0.7819839,-0.011797028,0.81250966,-0.0023109396,0.77341735,-0.005336298,0.67841226,-0.007881767,0.75784534,-0.014957206,0.9108885
45,-0.0008708108,0.6343761,0.0028697872,0.8901661,-0.0023012906,0.7841662,-0.0045912946,0.81240445,-0.0052966136,0.768796,0.005364927,0.67189664,-0.0040745954,0.75423044,-0.0021693774,0.9031547
46,0.0008715698,0.6362177,0.012875528,0.8970622,0.003316924,0.7837176,0.0018447185,0.8011267,0.0076534436,0.7649851,0.0062256963,0.6662139,0.002761501,0.74210835,-0.004346997,0.8931889
47,0.012831673,0.64322126,-0.0014120863,0.9113232,0.00043063753,0.78697735,-0.008286772,0.81338996,0.012384166,0.7710145,0.007953308,0.66487634,0.0031610627,0.74682736,0.014191481,0.89336747
48,-0.004295532,0.6474158,0.0,0.91492283,-0.0015091484,0.7851504,-0.0037134914,0.79592174,-0.0030981062,0.7774689,0.0035075932,0.65571135,-0.009150243,0.731736,0.0010770069,0.8908115
49,-0.0017253815,0.6553481,0.024044488,0.91616225,0.010576378,0.78859526,0.008387162,0.80410653,0.020614378,0.7817499,0.0052430453,0.65274835,0.0030791974,0.7144986,0.0064509665,0.89675456
50,0.0069132666,0.64734876,0.009669175,0.92321813,0.0016374842,0.79235,-0.006469275,0.79286355,0.008657498,0.79525214,-0.01086523,0.65401405,0.0030683659,0.72463685,0.019231066,0.8964451
51,-0.0004287279,0.65252954,0.012311891,0.9291286,-0.004974458,0.7938668,0.017673884,0.786593,0.00031756048,0.8078992,0.02767919,0.6472865,0.0061192536,0.7300659,-0.0010477626,0.90651715
52,0.0038633782,0.64701456,-0.008108101,0.9335828,0.010499614,0.7932091,-0.027422234,0.7828251,0.010327234,0.8075233,-0.019238794,0.6498768,-0.0034463906,0.7379678,-0.006296362,0.90508074
53,-0.021381645,0.6539213,-0.021799006,0.93825,-0.011451981,0.8006719,-0.034774136,0.7747439,-0.010851351,0.8135979,-0.020923296,0.6484687,-0.028682847,0.73240834,-0.059662223,0.9052134
54,0.0063369614,0.63542515,-0.008356544,0.9169329,0.01129987,0.7991952,0.000974185,0.7645313,0.004770124,0.8075482,-0.0004461296,0.6484741,0.01465977,0.7138606,-0.026390063,0.8868558
55,0.011723306,0.64300996,0.02106741,0.9139151,-0.0035367808,0.80065346,0.006809097,0.76315427,0.00063238124,0.80697036,0.008018757,0.6484266,-0.0074299825,0.7245944,0.0034610222,0.8745985
56,-0.004291276,0.64883786,-0.0027503646,0.9269287,-0.001985999,0.7994512,-0.0057976493,0.76418114,0.0011076849,0.80889964,-0.0057444912,0.6525055,-0.00020758284,0.72702336,0.022987813,0.86988467
57,0.0,0.64930534,-0.033103354,0.9262098,0.001706718,0.7973617,0.007774777,0.7601782,0.00031567804,0.80711144,-0.0013342461,0.64880395,0.00416019,0.7216314,0.0033715796,0.8744298
58,0.003663722,0.652192,-0.007133006,0.9145554,0.02072646,0.7986413,0.028929602,0.76457375,0.002683707,0.8075963,0.014241185,0.64650834,-0.0014499068,0.7285414,0.0044784257,0.8768219
59,0.004508633,0.65833545,0.004310342,0.91404516,0.002225715,0.8129164,0.0178064,0.7772541,0.00015799208,0.80886114,-0.006581765,0.649253,0.009955456,0.7300852,-0.0100324135,0.8728045
60,-0.0034204253,0.65548736,0.008583685,0.9050455,-0.0013195038,0.8163591,0.024862863,0.7831337,-0.004093834,0.8056788,0.025617981,0.6451803,-0.007393358,0.7283634,0.0450447,0.86636454
61,-0.0045038015,0.6446788,0.0028372211,0.9120461,-0.001875933,0.8149092,-0.0035946195,0.79074585,-0.0049010864,0.80199486,-0.018518211,0.64961874,0.0035177025,0.7228013,-0.006465985,0.8783828
62,0.0004305752,0.6502234,-0.028288793,0.91226023,0.0002785223,0.81894773,-0.032460876,0.7920911,0.0073081767,0.80109406,-0.012723952,0.6433519,0.0012375027,0.73014086,-0.021691266,0.8760245
63,-0.0043069883,0.6419693,0.011644053,0.8948438,0.0074469526,0.81387013,0.0074546654,0.774905,-0.0014189407,0.7976661,-0.02222302,0.63859236,-0.024094656,0.7181316,0.005543052,0.86230326
64,0.0032434384,0.63819325,-0.015826577,0.89250326,-0.0051811766,0.8256756,-0.008325101,0.77790415,-0.0004739966,0.79896224,-0.0045459443,0.62719405,-0.002110424,0.7084673,-0.025358368,0.8689371
65,-0.0021557703,0.63643473,0.0058475286,0.8836565,-0.0025000689,0.81644255,0.0074629136,0.76994187,-0.00094859034,0.7934135,0.053882323,0.6238783,0.00063462555,0.70337594,0.011311842,0.8605467
66,0.0034573793,0.63626474,-0.0029073278,0.8870943,-0.0022265697,0.81645876,-0.002778003,0.77200824,-0.0012654709,0.793106,0.0082322955,0.636053,0.0023244228,0.70817703,-0.00782998,0.86394584
67,0.016580438,0.64780504,0.0029158052,0.88125885,-0.0011864895,0.8140934,0.036211167,0.7831757,-0.004434279,0.79262275,0.0,0.6426355,-0.00042085926,0.7140775,0.006764866,0.8647573
68,-0.008896504,0.66086453,0.024709648,0.8885404,-0.010756391,0.8149458,-0.0026872256,0.8000833,-0.0042956923,0.78876275,-0.0038672388,0.64495784,0.0080153365,0.7121424,0.005598918,0.8732062
69,0.0008556437,0.6645331,-0.026951024,0.89820874,0.0012008153,0.80895674,-0.0071879965,0.8076087,0.0043142247,0.78942907,-0.032787375,0.6429516,-0.015485598,0.7230932,-0.020044843,0.8747605
70,0.0014935437,0.6524478,-0.010203662,0.88723844,-0.005289622,0.804457,-0.024434088,0.807163,-0.0011131916,0.7859088,-0.016949369,0.6377337,-0.011476558,0.70722777,-0.018181872,0.8683102
71,0.010448112,0.65409225,0.02061884,0.87910575,0.0055301543,0.8042989,0.019479677,0.7950989,0.0050954293,0.7876495,0.0018150202,0.62655514,0.020425508,0.70635873,0.015046733,0.8553413
72,0.0035871887,0.6692302,-0.0014436996,0.885002,-0.0044423053,0.8001935,0.0,0.7924875,-0.011883778,0.79449666,0.019022193,0.6253697,0.0004220138,0.7088948,-0.005701065,0.8489334
73,-0.011773648,0.6703244,0.008670521,0.89137965,-0.0036820848,0.79937285,0.016378826,0.79386336,-0.0046505486,0.78699756,0.010221023,0.6299194,0.011582859,0.70929456,0.021788726,0.8477384
74,0.01425388,0.6519178,0.027221326,0.88679194,0.012510158,0.79119045,0.025067361,0.8008656,0.011922539,0.7833991,0.025077377,0.62664384,0.016448686,0.7134155,0.026935587,0.8436628
75,-0.0031453753,0.6644529,0.009762494,0.9129936,-0.0011939867,0.803021,0.0,0.81612337,0.001273731,0.79407096,0.016737662,0.64167815,0.0014337889,0.7259258,0.012022157,0.86346465
76,0.01325687,0.65961885,0.015193701,0.91455543,0.009630209,0.7969906,0.020087544,0.8138758,0.008268385,0.79623264,0.013930669,0.6506505,0.008181071,0.730296,0.024838127,0.86704856
77,0.005192166,0.68093276,0.006803047,0.92426574,0.0061961333,0.81189525,0.0008554674,0.83242285,0.011827546,0.80854326,0.0062447283,0.6686049,-0.0071008317,0.7379714,0.0010532186,0.8883632
78,-0.0028930684,0.67622674,0.0067560347,0.93486154,-0.005881132,0.8132321,0.016253838,0.83105874,0.00015629399,0.8189954,0.0037233252,0.6640607,0.005517362,0.73616177,0.03578982,0.8877442
79,0.0020733227,0.67784345,0.0013429929,0.9310397,0.00076540874,0.8158377,0.0067331134,0.8490355,0.001090466,0.83323455,0.018137379,0.67060715,0.002844933,0.74877995,-0.019308716,0.9120537
80,-0.003102021,0.6728424,-0.017426908,0.942425,-0.0009731791,0.81364036,-0.030099668,0.85478264,-0.00046713473,0.826459,-0.004858838,0.69110703,-0.08753752,0.7504188,-0.02383424,0.9127491
81,0.008297466,0.6729158,0.02182876,0.9334135,0.020396704,0.8186511,-0.001723857,0.8475153,0.0032705984,0.8339487,0.0069162333,0.6974988,0.017987808,0.7126954,0.00530768,0.90769976
82,0.009873536,0.6750353,0.0013347283,0.940726,0.006344756,0.84025615,-0.0017280985,0.842367,0.0065198005,0.83591706,0.0012129522,0.6968677,0.019197049,0.70464134,-0.011615914,0.9086026
83,-0.011203205,0.68240005,-0.007999935,0.94824415,-0.0030514316,0.8542949,-0.07698909,0.84697783,-0.0035469772,0.8458712,-0.0016144115,0.69943035,0.0115576135,0.7223392,0.0021369297,0.91078514
84,-0.0018540423,0.67623794,0.0013436987,0.9481178,-0.0036036514,0.8536196,-0.010309735,0.82258594,-0.007120435,0.8381911,0.0040411204,0.69919336,0.0029623194,0.7280866,0.005330316,0.91012573
85,0.00082480174,0.67283994,-0.026844922,0.95002234,0.01658367,0.83896995,-0.0104159005,0.819872,0.0018713799,0.8315022,0.004429501,0.70767957,0.0059072236,0.73198056,-0.0031810517,0.91565925
86,0.0074239112,0.67328095,0.017930685,0.939797,0.027188446,0.8542206,0.0028710458,0.81703633,0.0040454236,0.82649237,0.0036068389,0.70780504,0.004195011,0.73102003,0.003191203,0.91604435
87,0.013102041,0.6747533,0.0027103538,0.94118536,0.006405266,0.86293936,-0.0009547413,0.80666155,0.0120872995,0.83078945,0.0055902703,0.7108151,0.0027155485,0.7270491,-0.009544123,0.90706265
88,-0.001818453,0.6831945,-0.012162152,0.94458926,-0.00474046,0.8695988,-0.020057771,0.7990157,0.0035214513,0.83883446,0.04249513,0.71205044,0.01666337,0.72487986,-0.002140398,0.9057432
89,0.0058698114,0.68758637,0.00547162,0.9402895,0.004502032,0.85766387,-0.0038980818,0.7825802,0.0035090942,0.84595263,-0.009524154,0.72447336,-0.0010251221,0.7324312,-0.030043887,0.89940345
90,-0.00080430723,0.6854876,-0.012244891,0.9370413,0.013965238,0.8575639,-0.030333234,0.76913404,0.0025854239,0.8455012,-0.00038530718,0.7222973,-0.028712133,0.72734725,-0.012167303,0.88933307
91,0.0042288573,0.6853133,0.008264458,0.93019295,-0.0025628563,0.86548764,-0.003026097,0.7508403,0.0074307746,0.84407645,-0.031934097,0.7239711,0.0156247895,0.7227442,0.016796753,0.8761292
92,0.022061868,0.68417317,0.0013657885,0.9242839,-0.0014772061,0.8641718,0.005060725,0.74303764,-0.0009035396,0.84331614,0.015897129,0.70995265,-0.00041499708,0.7247337,0.012114838,0.8780126
93,-0.0257058,0.69611496,-0.032742087,0.93030685,-0.03357479,0.86543137,-0.07150094,0.7374937,-0.014313129,0.8417874,-0.037949175,0.7201926,-0.022046212,0.73043495,-0.05005457,0.8823333
94,-0.00040247734,0.6878799,0.0014111202,0.92170435,0.015240476,0.85423577,-0.0010852161,0.72216207,0.0012229852,0.8336321,-0.018707318,0.7122282,-0.009784234,0.7276477,0.0068733515,0.8661235
95,0.011081298,0.6857174,0.03239359,0.9186376,0.0034095254,0.8608819,0.0325733,0.71753836,0.0140449405,0.82884926,0.019477736,0.7120477,0.013316575,0.7275687,0.0,0.86365175
96,0.009366943,0.69376165,0.0040927683,0.9344016,0.0060761427,0.864401,0.018927708,0.7171888,0.0030119957,0.84054774,0.005284384,0.7127912,0.013989182,0.73255676,0.010239024,0.86287695
97,-0.006712691,0.7000212,-0.004076086,0.9379063,-0.0012337707,0.86572564,0.006192539,0.7119311,-0.0049542766,0.84304917,0.0060654446,0.71561193,0.0058528064,0.7232497,0.019143695,0.8622459
98,0.00019855541,0.69593364,0.0068216114,0.9378777,-0.002990771,0.8641717,-0.0020510308,0.71289545,0.00286656,0.8437203,-0.0040183,0.71639293,0.011637582,0.740516,0.0,0.8695086
99,0.0055639767,0.7007266,-0.012195115,0.9463149,0.0034560615,0.86382616,0.028775787,0.7145836,0.0093258545,0.84663343,0.008474734,0.71603096,0.0057518943,0.73630255,-0.0033145521,0.8719601
100,0.0013836412,0.6989987,0.002743815,0.9391329,-0.0016894802,0.86144555,-0.005993196,0.71783966,0.0017891055,0.85028195,-0.0036024854,0.7182588,0.011437918,0.74436736,-0.0077605294,0.87048817
101,-0.00217048,0.6999269,-0.010944234,0.93753535,0.00039014005,0.85828835,-0.014071164,0.71924967,-0.0025296516,0.8502652,-0.012449055,0.7127271,0.0046451823,0.74858636,-0.017877137,0.8646929
102,-0.0047470974,0.70144,0.000691395,0.9353214,-0.005921322,0.8602698,-0.0071352473,0.7146844,-0.0043252525,0.85104644,-0.023586448,0.71080667,-0.027136272,0.74894613,-0.013652862,0.8573256
103,0.006558198,0.6976977,0.015895117,0.9411557,0.0027492708,0.85650414,0.03490835,0.70937467,0.009286743,0.8496264,0.018741975,0.69538915,0.019834153,0.72776175,0.01614877,0.8506869
104,-0.0009877435,0.70286554,0.014966307,0.9479086,0.014818937,0.85940605,0.029761886,0.7208374,0.0059369174,0.8558037,0.002451847,0.70098686,0.02775648,0.7556286,0.003404914,0.86218435
105,0.0,0.7005594,-0.010724176,0.9605614,-0.00977848,0.8620865,0.010596512,0.7277569,-0.0013271784,0.8545843,-0.0048930626,0.7041248,-0.0055194567,0.76415014,-0.00339336,0.86098516
106,-0.0019760658,0.7000811,-0.009484761,0.9501536,0.0033787368,0.8615065,-0.010485403,0.7311135,0.0022156625,0.8556803,0.010655391,0.6998696,-0.0010907733,0.770311,-0.0034060192,0.8541565
107,0.0009893005,0.69632983,-0.012311828,0.947031,0.005956438,0.86684567,0.0067434986,0.73340803,-0.0010314743,0.85920775,-0.016220905,0.70764816,0.011608741,0.76570755,0.015945267,0.8544326
108,0.1020775,0.69699585,0.018005125,0.9336722,-0.0024456251,0.8709288,0.004784687,0.74133855,0.009443235,0.86123043,0.007420404,0.7001997,-0.010004539,0.7714164,0.0347541,0.8570159
109,-0.030335765,0.74805355,0.021768304,0.94077426,-0.03877644,0.8759061,0.019047534,0.7463092,-0.008186522,0.86216867,-0.0028651217,0.7112631,0.027144678,0.7564031,0.067171335,0.87021524
110,-0.016659703,0.7374245,-0.006657083,0.9627669,-0.023896152,0.8515883,-0.007476861,0.7454148,-0.007073807,0.8598579,-0.0069758324,0.69499755,-0.010994972,0.7721404,-0.017258497,0.90108085
111,-0.02108548,0.7332447,0.017425872,0.9661045,0.008046058,0.8442644,0.008474039,0.7537248,0.00667988,0.85694444,0.0111575145,0.699726,0.0078012976,0.7758785,-0.0041325106,0.90519726
112,0.012116259,0.7173918,0.0039525675,0.9847107,-0.009755148,0.8375095,-0.008402834,0.75933135,-0.0011797063,0.85921186,-0.008172788,0.69622827,0.0021299627,0.77540636,0.0,0.89734083
113,-0.0009505839,0.72808915,-0.011811018,0.97372514,-0.0059940424,0.83149594,-0.0056501767,0.7630539,-0.009448522,0.8589126,0.020189539,0.69673043,-0.0038628406,0.77793187,0.004149659,0.90141743
114,0.0,0.725999,-0.0092957625,0.9598002,-0.014000062,0.8229515,-0.008522268,0.76283324,0.0011923658,0.8525872,0.024232361,0.7021092,-0.013959445,0.7754564,-0.0123965265,0.902707
115,0.03575485,0.7307893,-0.0013411917,0.95106804,0.028608201,0.8165154,-0.008595444,0.7608335,0.011015657,0.85104674,0.0019711207,0.7189471,0.01356699,0.7651944,-0.0052299527,0.9013652
116,-0.01193453,0.73749876,-0.010737542,0.94995224,-0.0090889465,0.82069665,-0.01926781,0.7579177,-0.010159558,0.85898584,0.014167831,0.718149,-0.0077589243,0.77348566,-0.010515986,0.9031613
117,0.023787297,0.7342373,-0.01899624,0.9438029,0.005930995,0.81574106,-0.011788851,0.7581589,0.0023800507,0.85091525,0.009701559,0.73103213,0.006646207,0.77357376,-0.013814396,0.90849525
